Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
à	hers	28.5981155262627	186.731663634688	2314	2.39862560077263	function_words	1	2.61	8.43948689347462
à	mine	23.9828931713272	186.731663634688	2314	2.39862560077263	function_words	1	3.56	8.43948689347462
à	inside	41.7933681067048	186.731663634688	2314	2.39862560077263	function_words	1	3.67	8.43948689347462
à	at	25.2575002362336	186.731663634688	2314	2.39862560077263	function_words	1	2.07	8.43948689347462
à	his	29.0737562971822	186.731663634688	2314	2.39862560077263	function_words	1	3.14	8.43948689347462
abeille	bee	27.780415410992	-36.3554010974387	30	-3.26847058078146	nouns	7	4.88	4.48387096774194
acheter	buy	28.5533466764655	23.2085439978074	116	-2.75121406668518	verbs	7	3.35	9.55769230769231
agneau	lamb	33.1379145131785	-7.12832987951787	4	-6.00931060470666	nouns	6	4.97	2.5
aider	help	27.6101125831562	71.0886209657755	158	-2.85231018355655	verbs	5	2.56	7.61702127659574
aie	ouch	18.5995766052219	-5.7905458898638	26	-4.39987269227256	other	3	2.76	5.4
aïe	owie	19.9874356895795	-112.582730616944	55	-1.83492333481102	nouns	3	4.09317226890756	4.2
aimer	love	26.7506622718697	14.2094541101362	46	-4.39987269227256	verbs	5	2.07	9.8
âne	donkey	28.9213215095697	-3.54376034447014	60	-3.33516195528013	nouns	3	5	5.93103448275862
animal	animal	30.6612168452991	-36.5561000967822	88	-2.29573853800235	nouns	6	4.61	8.36585365853658
appareil	camera	31.2930463894755	62.4774213649778	114	-3.65793534754318	nouns	8	5	7.47619047619048
apporter	bring	27.8755112946753	43.8293592926736	87	-3.92986906302683	verbs	8	2.55	9.375
après	after	26.9473549906329	72.8665680119757	1143	1.15153530195764	other	5	2.12	10.1944875776398
arbre	tree	25.2959733663522	44.415379690019	162	-2.3849696717303	nouns	5	5	8.30666666666667
argent	money	36.8925063475125	27.5066277363579	45	-5.31616342414672	nouns	6	4.54	10.75
arrêter	stop	25.762639299993	44.8953339982841	133	-2.83125677435872	verbs	7	3.68	8.97916666666667
aspirateur	vacuum	25.0288138844147	39.2114720586792	62	-4.91069831603855	nouns	10	4.22	12.1666666666667
assiette	plate	23.982145054704	27.5401400010242	140	-2.45396254321725	nouns	8	4.77	8.12857142857143
attendre	wait	27.8063370200677	26.5724283872756	101	-3.09153987262238	verbs	8	2.68	8.48648648648649
attention	watch out	24.539630036959	-96.2888631436805	244	-0.723572020365484	adjectives	9	4.61	5.21772151898734
attraper	catch	28.0767061283853	58.8953339982841	147	-2.83125677435872	verbs	8	4.11	11.125
au	bye	16.782699521033	269.534886247759	1082	0.685870074310501	other	2	2.25	8.94186765615337
au	far	27.8705417872229	269.534886247759	1082	0.685870074310501	function_words	2	2.71	8.94186765615337
au	above	33.3028595248034	269.534886247759	1082	0.685870074310501	function_words	2	3.33	8.94186765615337
aujourd'hui	today	31.1346812692163	83.658306180587	346	-1.13411328150551	other	11	2.57	8.08015267175572
aussi	also	27.4858423771409	276.491506560643	1269	1.02287225265053	function_words	5	1.83	7.64105960264901
autre	other	29.4762563948033	236.976878465611	819	0.137018652962236	function_words	5	2.04	7.92505353319058
avant	before	33.301658256946	156.137917481667	454	-0.934136789472834	other	5	1.96	9.6625
avion	airplane	21.36585594026	44.6268746026576	155	-2.4829500800905	nouns	5	4.96	6.63235294117647
avoir	hungry	26.2821491994725	176.177751204313	492	-0.84167156180074	adjectives	5	2.9	9.12250712250712
avoir	thirsty	24.6127638496705	176.177751204313	492	-0.84167156180074	adjectives	5	3.86	9.12250712250712
avoir	sleepy	29.1760563772241	176.177751204313	492	-0.84167156180074	adjectives	5	2.77	9.12250712250712
avoir	have	28.2834354915347	176.177751204313	492	-0.84167156180074	verbs	5	2.18	9.12250712250712
avoir	scared	24.0720725272786	176.177751204313	492	-0.84167156180074	adjectives	5	2.5	9.12250712250712
baignoire	bath	25.9021818648594	4.45623965552986	68	-3.33516195528013	nouns	9	4.85	9.37931034482759
bain	bath	18.854805241354	-3.95674777611109	175	-1.73264448569061	other	4	4.85	9.85416666666667
balai	broom	24.0073969213985	5.80235466405064	31	-4.75654763621129	nouns	5	4.89	16
balancer	swing (action)	29.9182687758711	-0.913893556202112	49	-3.70672551171262	verbs	8	4.54	7.45
balançoire	swing (object)	25.8831454442751	-3.32145653463554	106	-2.49776516587564	nouns	10	4.54	9.23880597014925
balayer	sweep	27.5941776629292	-3.49337226364206	14	-5.31616342414672	verbs	7	3.72	6.5
balle	ball	18.3305902686773	1.86810406314586	108	-2.54357470190693	nouns	5	5	6.609375
banane	banana	21.4971490396992	-23.9426891839578	70	-2.73216587171448	nouns	6	5	5.24528301886792
bateau	boat	21.0528703122953	-11.0940360006477	307	-0.83033999579119	nouns	6	4.93	8.2056338028169
baton	stick	26.7284971949735	-7.07757385980477	0	-6.70245778526661	nouns	5	4.59	8.1714701145025
bavoir	bib	24.7446740468888	-8.48886483200273	19	-4.62301624358677	nouns	6	4.79	6.125
beau	beautiful	22.885461832095	-12.7749097472118	342	-0.657452471230594	adjectives	4	2.16	7.04502369668246
bébé	puppy	29.5771446702558	-26.1788232083862	515	0.0189679155240374	nouns	4	4.78	7.66987951807229
bébé	baby	16.9818210148054	-26.1788232083862	515	0.0189679155240374	other	4	5	7.66987951807229
bébé	kitty	28.8551685340475	-26.1788232083862	515	0.0189679155240374	nouns	4	4.97	7.66987951807229
berceau	cradle	33.6545739443927	-4.12832987951787	7	-6.00931060470666	nouns	7	4.93	9.5
beurre	butter	24.2921948818198	2.67854346536446	112	-2.49776516587564	nouns	6	4.9	7.13432835820895
biberon	bottle	20.9223560358766	-46.9217390871052	119	-1.85042752134699	nouns	7	4.91	10.9375
biche	deer	32.8592206889427	-4.90738797330016	40	-3.86924444121039	nouns	5	4.86	6.64705882352941
bien	good	23.0340969718967	43.7625233277558	1288	1.41276418729572	adjectives	4	1.64	6.698355754858
blanc	white	28.363591684578	-2.01432690476562	152	-1.96625933687211	adjectives	5	3.89	7.73684210526316
bleu	blue	25.7560032860469	-86.3745624518646	249	-0.746620415801775	adjectives	4	3.76	6.31088082901554
boire	drink (action)	20.5021573656456	22.2421100290227	216	-1.60870758445984	verbs	5	4.76	7.41104294478528
boisson	drink (beverage)	49.9566213076945	-7.07757385980477	0	-6.70245778526661	nouns	7	4.76	1
boîte	box	25.777278789383	-7.9593923807289	309	-0.835989728333309	nouns	5	4.9	9.10198300283286
bol	bowl	25.5938814631744	-1.50778230753069	125	-2.27164098642329	nouns	3	4.87	9.5
bonbons	candy	22.4110982635012	-0.887948752565535	102	-2.59158392109329	nouns	7	4.83	6.47540983606557
bonhomme	snowman	28.6864504805397	-45.9171987498054	296	-0.716005779982169	nouns	8	4.64	6.87939698492462
bonjour	hi	21.4085019883194	-95.9265838009189	196	-0.965885487787414	other	7	2.67	3.3
bonne	good night	24.023096097594	13.4566945029706	214	-1.55496330845315	other	5	1.64	8.69186046511628
bottes	boots	23.8123772975179	0.295740311927545	58	-3.48358196039841	nouns	6	5	6.36
bouche	mouth	21.9709970944751	4.50341129601384	300	-0.946715571679694	nouns	6	4.74	8.50949367088608
boutons	button	23.8940895421763	19.7903555914741	153	-2.19159827874976	nouns	7	4.96	8.41758241758242
bras	arm	23.1394417340517	39.2949402128888	223	-1.69182249117035	nouns	4	4.96	9.18666666666667
bravo	bravo	18.2229118489143	-169.629945877516	85	-1.18099686740436	other	5	1.86	2.32
brosse	brush (object)	26.6909278771377	-3.3554010974387	63	-3.26847058078146	nouns	6	4.54	6.83870967741935
brosse	toothbrush	24.5053541738807	-3.3554010974387	63	-3.26847058078146	nouns	6	5	6.83870967741935
bruyant	loud	45.0559712179464	-2.07757385980477	5	-6.70245778526661	adjectives	7	3.73	10
bulles	bubbles	26.9407324941775	5.05731081604216	99	-2.73216587171448	nouns	6	4.09317226890756	7.35849056603774
bus	bus	28.1495093940929	1.28632710494873	39	-4.13750842780507	nouns	3	4.9	6.38461538461539
ça	that	24.5994795332995	-224.586847872943	2571	2.95474552351367	function_words	2	1.54	6.59690418319048
cacher	hide	23.8168275009368	-0.942689183957839	93	-2.73216587171448	verbs	6	3.21	7.35849056603774
cadeau	present	23.8805068834984	-7.05666175502907	163	-1.81210865704485	nouns	6	3.39	8.89473684210526
café	coffee	24.9927587141049	12.4262145220623	136	-2.30800863059417	nouns	4	4.81	6.98765432098765
caillou	stone	22.7837150648522	-1.27654059907807	47	-3.75801880610017	nouns	7	4.72	8.10526315789474
camion	firetruck	27.9263954886603	2.27033334647436	208	-1.51507197942585	nouns	6	5	7.73743016759777
camion	truck	22.4790663152858	2.27033334647436	208	-1.51507197942585	nouns	6	4.84	7.73743016759777
campagne	country	31.8525321052751	-9.57758612800438	30	-4.06340045565135	other	8	4.17	6.64285714285714
canapé	couch	26.152480535924	-6.20095911571062	101	-2.52807051537097	nouns	6	4.71	9.04615384615385
canard	duck	21.4371243976144	-38.8418740827592	189	-1.35535025454914	nouns	6	4.86	6.78571428571429
cassé	broken	21.2048191933285	-44.1149149754086	202	-1.23439764413148	adjectives	5	4.11	7.24050632911392
casser	break	22.1978419291127	37.8202030687025	197	-1.91496604248456	verbs	6	3.71	8.95833333333333
ce	tonight	29.2256620290438	112.998180221644	1272	1.28913449680149	other	2	2.93	9.34709066305819
céréales	cereal	29.1978934470095	2.04209757955448	67	-3.30126040360445	nouns	8	4.83	8.8
ceux	those	42.7552385403319	35.4448364517821	212	-1.75369789488844	function_words	4	2.32	8.17021276595745
chaise	chair	22.2173272197497	12.5562216129329	252	-1.2775077677852	nouns	6	4.58	7.65638766519824
chaise	high chair	31.0643627572797	12.5562216129329	252	-1.2775077677852	nouns	6	3.46	7.65638766519824
chambre	bedroom	24.4929149719009	13.8697557647752	196	-1.70524551150249	nouns	7	4.9	9.49324324324324
chanter	sing	25.4121156165153	-27.32559066923	131	-1.92333429215508	verbs	7	4.34	6.36974789915966
chapeau	hat	20.3897902878346	-52.2932968715796	217	-1.09298599008165	nouns	7	4.88	6.55311355311355
chat	cat	18.7734117125432	-300.948317751299	406	0.4552776989833	nouns	4	4.86	5.92679127725857
chatouiller	tickle	29.6690914332736	0.211472058679188	23	-4.91069831603855	verbs	11	3.85	7.16666666666667
chaud	hot	20.0138165142411	-57.4595017492484	186	-1.25141933170091	adjectives	5	4.31	7.33905579399142
chaussettes	sock	19.2298085600282	-30.0313906723575	130	-1.90666723966987	nouns	11	4.91	6.24793388429752
chausson	slipper	20.8961836984606	-17.4549352420952	53	-3.17609726065044	nouns	8	4.86	4.70588235294118
chaussure	shoe	18.9351506052627	-9.22203520110946	87	-2.69512460003414	nouns	9	4.97	6.47272727272727
chemise	shirt	27.4490582110706	5.33761333850261	66	-3.40662091926228	nouns	7	4.94	6.88888888888889
cheval	horse	22.6556439833142	-41.341693819413	221	-1.13411328150551	nouns	6	5	7.82442748091603
cheveux	hair	21.7588537197682	12.3394742245833	245	-1.32256043172615	nouns	7	4.97	7.74193548387097
chèvre	goat	28.2561605256586	-36.5870603967427	86	-2.32043115059272	nouns	6	5	5.1375
chien	dog	19.3389507156887	-92.8155519839953	356	-0.282462857119464	nouns	5	4.85	7.15309446254072
chips	chips	28.542356577609	3.39152375615578	50	-3.81208602737044	nouns	5	4.9	9.27777777777778
chocolat	chocolate	21.6438389093231	5.59181774755677	273	-1.10403582626823	nouns	8	4.72	8.4037037037037
chut	shh	20.705965753338	-193.931203056558	95	-0.982146008659195	other	4	4.09317226890756	3.33770491803279
ciel	sky	26.4663371901028	-17.3942528655104	134	-1.99292758395427	nouns	4	4.45	8.47747747747748
ciseaux	scissors	25.5418575533296	-6.42757161272439	68	-3.09153987262238	nouns	7	4.85	5.97297297297297
clefs	keys	21.8225150871746	6.2094541101362	38	-4.39987269227256	nouns	5	4.09317226890756	14.2
clémentine	clementine	32.1119501587605	-8.49337226364206	9	-5.31616342414672	nouns	10	4.09	4.25
clou	nail (object)	32.7748802082441	-4.07757385980477	3	-6.70245778526661	nouns	4	4.93	6
clown	clown	25.7819182559662	-28.1514844012509	106	-2.18066920821757	other	5	4.9	5.79347826086957
cochon	pig	22.5474661634644	-60.6807704225327	236	-0.940406402486429	nouns	6	5	6.17924528301887
cocorico	cockadoodledoo	29.5813771856587	-32.6084762438442	14	-3.81208602737044	other	8	4.09317226890756	5.5
coin	quack quack	22.465299888691	-3.52515608463435	111	-2.42579166625055	other	4	3.93	8.11111111111111
collants	tights	29.2055919747536	-0.522578635022192	51	-3.65793534754318	nouns	8	4.62	5.61904761904762
colle	glue	30.8065270700299	-22.6331019909623	127	-2.01110990303746	nouns	5	4.65	6.8256880733945
collier	necklace	27.389509600549	7.41537969001899	125	-2.3849696717303	nouns	7	4.96	8.05333333333333
compote	compote	24.2574063726636	-4.68167383523312	25	-4.50523320793039	nouns	7	4.09317226890756	8.77777777777778
conduire	drive	28.1784034150676	7.33761333850261	68	-3.40662091926228	verbs	8	3.86	5.77777777777778
confiture	jam	27.3852927000558	-10.7369717575415	57	-3.23672188246688	nouns	9	4.71	10.125
construire	build	34.3318761971877	11.8877986749916	74	-3.3702532750914	verbs	10	3.71	10.3571428571429
content	happy	27.7069711575805	-39.0527620661742	147	-1.67201986387417	adjectives	7	2.56	7.70588235294118
coq	rooster	25.8082073698963	-26.2890814680892	63	-2.81063748715598	nouns	3	4.75	8.24489795918367
coquin	naughty	25.7453277944028	-12.7260119975299	63	-3.06487162554022	adjectives	6	2.04	5.68421052631579
couche	diaper	20.9690912957239	2.53331077508258	145	-2.08733726842535	nouns	6	4.82	7.1980198019802
coucou	peekaboo	17.1535867491742	-112.786351715943	147	-1.14949820034499	other	6	3.23	3.22093023255814
couper	cut	26.3409222298582	-8.64304748705695	132	-2.10733793513202	verbs	6	4.55	6.09090909090909
cour	yard	32.651275110927	-4.69333976612239	96	-2.62492034136089	other	4	4.82	10.2033898305085
courir	chase	31.846451760742	-36.8879487525655	66	-2.59158392109329	verbs	6	3.48	19.016393442623
courir	run	24.6137186747661	-36.8879487525655	66	-2.59158392109329	verbs	6	4.31	19.016393442623
couteau	knife	23.1941491382425	-5.55001397863202	110	-2.41199834411821	nouns	7	4.9	6.42465753424658
couverture	blanket	26.6761902187712	15.8834363187482	89	-3.1189388468105	nouns	10	5	8.52777777777778
couvrir	cover	31.2990741936927	0.765908283840584	21	-5.09301987283251	verbs	7	4.23	6.4
craie	chalk	33.5872782201581	-1.48886483200273	26	-4.62301624358677	nouns	5	4.9	6.875
crayon	pen/pencil	22.1711386311924	17.4129396032573	140	-2.32043115059272	nouns	6	4.09317226890756	7.35
crocodile	crocodile	25.7161899325187	-113.408182252443	154	-1.10403582626823	nouns	9	4.83	7.0962962962963
cuillère	spoon	22.0026766794971	-19.3075399615261	198	-1.42945822670286	nouns	8	4.96	7.07179487179487
cuisine	kitchen	24.6115185285116	7.194096292371	146	-2.12774680676322	nouns	7	4.97	8.51546391752577
cuisiner	cook	33.5150911962434	-2.12832987951787	9	-6.00931060470666	verbs	8	4.32	6
culotte	underpants	23.7741449262069	-5.87671783817328	165	-1.80461798531569	nouns	7	4.89	6.05970149253731
dame	lady	24.5855580496908	4.04325222388891	183	-1.73264448569061	other	4	4.33	8.86111111111111
dans	in	25.27084160414	270.864121710371	1823	1.80670323445237	function_words	4	3	9.33084677419355
danser	dance	24.3709597155189	4.89672233100067	74	-3.20595022380013	verbs	6	4.32	7.78787878787879
déchirer	tear	28.3060674865264	-0.276540599078068	48	-3.75801880610017	verbs	8	4.56	7.73684210526316
déjeuner	lunch	31.1275022410962	26.0573108160422	120	-2.73216587171448	other	8	4.31	10.9245283018868
demain	tomorrow	27.6581529154471	19.4922176924693	146	-2.27164098642329	other	6	2.04	9.80952380952381
dent	tooth	22.3611079790508	12.2863271049487	50	-4.13750842780507	nouns	4	4.89	14.5384615384615
déposer	put	27.2115158212931	0.500346416389716	15	-5.6038454965985	verbs	7	2.5	16.3333333333333
derrière	behind	27.2840751930858	39.1482312998824	260	-1.40414041871857	function_words	8	3.48	8.26
dessiner	draw	25.4160653698608	-15.7534212839009	151	-1.84264538090493	verbs	8	3.97	6.51937984496124
dindon	turkey	33.8755940601004	-6.78852794132081	16	-4.91069831603855	nouns	6	4.89	6.33333333333333
dîner	dinner	35.2002741229844	-3.57758612800438	36	-4.06340045565135	other	5	4.5	8
dire	say	28.9969140300454	44.5537399794925	492	-0.287360826095011	verbs	4	2.58	9.76595744680851
docteur	doctor	25.33218078895	-0.793936079345556	101	-2.60811322304451	other	7	4.69	8.85
doigt	finger	23.449785861231	18.9433382449709	189	-1.81210865704485	nouns	5	5	7.97744360902256
doigt	toe	35.8692816716005	18.9433382449709	189	-1.81210865704485	nouns	5	4.93	7.97744360902256
donner	give	24.0299923540821	38.068796943442	327	-0.982146008659195	verbs	6	2.83	8.69180327868852
donner	kick	31.7467911600287	38.068796943442	327	-0.982146008659195	verbs	6	4.33	8.69180327868852
dormir	sleep	24.6657036581128	20.3569525129431	161	-2.10733793513202	verbs	6	4.44	9.02020202020202
douche	shower	24.697241995578	-2.70425968807245	55	-3.48358196039841	nouns	6	4.89	8.08
doux	soft	25.7985813831848	-112.323439435312	61	-1.78247685943848	adjectives	4	3.88	6.39416058394161
du	some	27.9154052879221	294.469350058906	1331	1.09688561294931	function_words	2	2.48	9.00328003280033
dur	hard	25.6239767365633	-38.9217390871052	127	-1.85042752134699	adjectives	3	3.76	6.125
écharpe	scarf	27.4800470079377	-7.19764533594936	18	-4.75654763621129	nouns	7	4.97	4.42857142857143
échelle	ladder	28.9247565845346	-6.11220132500841	56	-3.3702532750914	nouns	7	5	10.6785714285714
éclabousser	splash	34.6847544926058	0.765908283840584	21	-5.09301987283251	verbs	11	4.19	9.2
écouter	listen	26.0082965710294	44.5282078275034	143	-2.65940651743206	verbs	7	3.47	7.98245614035088
écrire	write	25.3688032903753	35.5351332957084	126	-2.79043477983846	verbs	6	4.22	8.72
écureuil	squirrel	29.5005128540368	-34.1318959368541	72	-2.54357470190693	nouns	8	4.89	5.15625
église	church	35.6733973126768	-1.23409171615942	19	-5.09301987283251	other	6	4.9	5.2
éléphant	elephant	23.7251216701586	10.0451143553387	147	-2.14858089366607	nouns	8	5	14.2
elle	she	29.2413559140511	269.719703035532	1940	1.94083928294536	function_words	4	3.36	7.87182651622003
encore	again	19.0413054045741	66.1905245976296	978	0.879261854858702	function_words	6	2	6.78542303771662
endormi	asleep	32.5534051142027	-3.48886483200273	24	-4.62301624358677	adjectives	7	3.71	12
enfant	child	27.5049258914034	11.5028356916697	96	-2.89579529549629	other	6	4.78	7.24444444444444
entendre	hear	28.2932132143094	50.4224138719956	90	-4.06340045565135	verbs	8	3.66	9.85714285714286
escalier	stairs	25.2776504743148	33.7659082838406	54	-5.09301987283251	nouns	8	5	13.2
esquimau	popsicle	49.8591859855937	-7.07757385980477	0	-6.70245778526661	nouns	8	4.93	8.1714701145025
essuyer	wipe	26.7543192011396	45.3389787845468	100	-3.56696356933746	verbs	7	4	7.52173913043478
et	and	27.8525848937582	135.884094406665	2741	2.80613361051059	function_words	2	1.52	10.0641929499072
étoile	star	25.7639879522447	19.4562396555299	83	-3.33516195528013	nouns	6	4.69	7.79310344827586
être	awake	29.1239775989539	189.7990338129	604	-0.410888645708286	adjectives	4	3.32	9.16851851851852
être	get up	29.094093469182	189.7990338129	604	-0.410888645708286	verbs	4	2.38	9.16851851851852
eux	them	32.3813779719368	34.4262145220623	158	-2.30800863059417	function_words	3	3.04	8.45679012345679
évier	sink	27.9411827715543	33.5066277363579	51	-5.31616342414672	nouns	5	4.74	8.75
faire	paint (action)	28.5121694632316	10.1014560359845	1252	1.40947027804413	verbs	5	4.79	8.2999400119976
faire	pretend	34.3493176706557	10.1014560359845	1252	1.40947027804413	verbs	5	2.11	8.2999400119976
faire	kiss	24.3364119587604	10.1014560359845	1252	1.40947027804413	verbs	5	4.48	8.2999400119976
fait	do	27.7969794878501	-190.193623224343	1582	2.05059772987162	function_words	4	2.46	7.98799368088468
