Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
affe	monkey	22.3339959521202	-36.2147415149045	328	-2.31174037877467	nouns	4	4.9	6.18491484184915
alt	old	28.4066647470295	-77.309704388901	415	-1.86886541691719	adjectives	3	2.72	8.653125
ameise	ant	26.2847277850916	4.21769438652063	88	-4.37908987468948	nouns	6	4.86	5.92307692307692
an	to	32.0745922936245	440.458507728892	2792	0.862962344096016	function_words	2	1.55	8.88770216661581
andere	another	26.911801773668	216.182634115648	1314	-0.60942834133413	function_words	6	2.69	8.18226164079823
anfassen	touch	26.513508693775	8.69493079223227	195	-3.26773856024394	verbs	8	3.86	6.84177215189873
apfel	apple	19.3241169118461	-22.1883967835303	510	-1.75247223554986	nouns	5	5	6.24061196105702
arbeit	work (place)	23.2243696545953	22.8728665709614	297	-2.72086179808595	other	6	3.48	8.51282051282051
arbeiten	work (action)	23.8918909854603	20.9606668652319	371	-2.36932825364763	verbs	8	3.48	7.25515463917526
arm	arm	20.407984172798	19.6065371649399	448	-2.07458355151754	nouns	3	4.96	8.14395393474088
auf	on	22.5799185481081	248.048911310199	3467	1.70348022094079	function_words	3	3.25	8.06864466292135
aufheben	lift	26.3828503538284	11.3855279616396	206	-3.20636961386765	verbs	8	3.89	6.58333333333333
aufhören	stop	26.5607517943422	27.5166464629204	156	-3.7870388110009	verbs	8	3.68	6.85106382978723
auge	eye	19.8131793600855	28.475038500579	357	-2.46103668013713	nouns	4	4.9	7.41525423728814
aus	off	28.5552146186713	357.856656899934	2566	0.719720648771932	function_words	3	2.79	8.38736940955511
auto	car	16.5902660109099	-278.04488078995	1521	0.288874523552059	nouns	4	4.89	6.57522123893805
baby	baby	16.6464897986944	-157.430766665763	915	-0.648773230711371	other	4	5	6.41974169741697
baden	bathe	21.3078093041789	-26.2832597279927	356	-2.24128871782406	other	5	4.19	5.83446712018141
badewanne	bathtub	23.9166146108289	15.9244147754231	306	-2.63997413894685	nouns	9	4.92	7.21959459459459
bahn	train	22.3662282459697	46.6102748130393	221	-3.36052029369491	nouns	4	4.79	7.05555555555556
banane	banana	17.5146383447771	-7.08899356181465	247	-2.82907538272618	nouns	6	5	6.02857142857143
bär	bear	20.4395533093054	-101.655723509895	513	-1.53462781809739	nouns	3	4.88	5.44407158836689
bauch	tummy	20.1579493378924	-1.68335560371008	603	-1.55954416936193	nouns	5	4.68	7.5802752293578
bauchnabel	belly button	25.8822972487113	0.390522041996803	51	-5.07223705524943	nouns	10	4.8	5.15384615384615
baum	tree	20.4241131809929	-21.3603175260653	702	-1.28368631542215	nouns	4	5	6.91818973020017
becher	cup	21.5726606622107	58.6154179849124	413	-2.35144782836979	nouns	6	5	6.81772151898734
beeilen	hurry	30.2419809693571	16.720453894786	63	-5.19483937734176	verbs	7	2.63	7.30434782608696
beicen	bite	24.8465653290896	-10.4055020406063	0	-7.2317213046028	verbs	7	4.44	7.44972997156923
bein	leg	21.1901918513597	44.5317148037856	382	-2.42225065510198	nouns	4	4.83	7.3695652173913
besen	broom	24.058937344268	-3.11514330291419	136	-3.67637324311338	nouns	5	4.89	6.2
bett	bed	20.2617638612259	-7.47862438300854	985	-0.777571509056761	nouns	4	5	8.30430220356768
biene	bee	23.345803739763	-17.7349720019233	197	-3.06764340436602	nouns	5	4.88	6.15544041450777
bild	picture	24.3629750336645	51.2831910221464	733	-1.37569472838992	nouns	4	4.52	8.79198473282443
birne	pear	24.7247420477821	6.28939005859445	205	-3.17704199877313	nouns	5	4.93	6.51445086705202
bitte	please	18.9100006679496	-279.194518736732	1378	0.12817060179665	other	5	1.64	4.68144220572641
blau	blue	25.2151959063043	-151.921093210455	526	-1.38431960217168	adjectives	4	3.76	5.34167468719923
blume	flower	20.9148586154916	-1.2926173307128	345	-2.38491298466433	nouns	5	5	5.83246073298429
bohnen	beans	29.7420907224306	44.0410476299113	149	-4.06765371622959	nouns	6	4.11604316546763	8.05633802816901
bringen	bring	26.9295717720386	123.422634344158	423	-2.59376129579172	verbs	7	2.55	10.2129032258065
brot	bread	20.4293904024893	-23.9076221845635	593	-1.52905055879929	nouns	4	4.92	6.89655172413793
brötchen	bun	22.1158881017312	35.0532662185167	249	-3.07283822124313	nouns	8	4.88	6.30208333333333
bruder	brother	28.3237487479872	55.6924618797418	272	-3.05733403470716	other	6	4.43	7.54358974358974
buch	book	18.9858325578184	-79.9685705425653	931	-0.747086068967547	nouns	4	4.9	7.88651399491094
bürste	brush (object)	25.1254099912571	-7.4269442810937	108	-3.93588443859847	nouns	6	4.54	5.81481481481481
bus	bus	20.5626517766725	58.5605499589892	617	-1.68005454468349	nouns	3	4.9	7.42820181112549
butter	butter	22.8275565582998	9.51369407987579	303	-2.62322332852203	nouns	6	4.9	6.14950166112957
butterbrot	sandwich	28.3980570984042	21.1233708972257	80	-4.86459769047118	nouns	10	4.9	5.6875
clown	clown	28.6903432025364	18.6770004513877	179	-3.47830332935129	other	5	4.9	6.4140625
da	there	16.8905173309279	301.873167047961	4599	2.88991065766922	function_words	2	2.2	7.3979042156889
dach	roof	27.2124028826771	9.69060358178956	571	-1.67232254740016	nouns	4	4.79	7.68421052631579
dasselbe	same	36.6458595748676	25.1850090084028	128	-4.09622708867365	function_words	8	2.64	6.73913043478261
decke	blanket	22.4655237186304	45.7110886337139	416	-2.28770075958853	nouns	5	5	7.44418052256532
deckel	cover (object)	24.4045230170353	-31.3267207787128	424	-1.98469723244231	nouns	6	4.23	6.32280701754386
dein	your	27.2676389786368	284.772223483765	1751	-0.101622794477221	function_words	4	2.37	7.16893514811849
die	the	26.1533196747381	254.293357563402	4758	3.17781045894229	function_words	3	1.43	7.94543974759603
dies	this	31.3297422106108	85.7626887979683	413	-2.46670241767281	function_words	4	2.14	6.27840909090909
dose	box	26.827135167559	25.000085999735	188	-3.45513627006976	nouns	4	4.9	8.76335877862596
drücken	push	28.1771605181207	-75.7369407258414	316	-2.2056502023767	verbs	7	4.21	5.97155361050328
dunkel	dark	24.7019264534507	-9.20101079901031	287	-2.6100218166635	adjectives	6	4.29	7.81967213114754
dusche	shower	23.6045276067345	9.37317862692842	167	-3.50201985596861	nouns	6	4.89	6
eichhörnchen	squirrel	27.5788267981362	55.4750073821409	398	-2.40074444988101	nouns	12	4.89	6.86702127659574
eigener	child's own name	20.5577357944366	0.594497959393662	11	-7.2317213046028	other	7	4.11604316546763	10
eimer	bucket	22.9157392789309	13.8975223709071	352	-2.41953694923038	nouns	5	4.96	6.96476964769648
ein	a	21.5797857712815	105.545355394434	3789	2.17404878012008	function_words	3	1.46	6.51383139136395
ein	a little	27.4404527932312	105.545355394434	3789	2.17404878012008	function_words	3	1.46	6.51383139136395
eis	ice cream	19.3291475721067	-88.7574381300562	608	-1.34192041127132	nouns	3	4.89	5.83487084870849
elefant	elephant	22.8912760288745	-54.121921599753	511	-1.66210534485351	nouns	7	5	5.84371029224905
ente	duck	20.7022214821222	-0.292735520766769	634	-1.48658364426468	nouns	4	4.86	6.38379530916844
er	he	32.1968004708842	478.22124390933	2738	0.771641754027149	function_words	2	3.93	8.68628106541848
es	it	33.0539028871951	482.268859878579	3138	1.15953066345559	function_words	2	2.81	8.46162570888469
esel	donkey	24.7651428046176	-18.4325239246418	232	-2.84969466992892	nouns	4	5	5.65833333333333
essen	eat	21.5131671002437	-177.756335735325	1347	-0.0293083394324555	verbs	5	4.44	7.4148460774578
essen	food	21.3192315810808	-177.756335735325	1347	-0.0293083394324555	nouns	5	4.8	7.4148460774578
euch	you	25.0907573878951	296.663478400998	983	-1.3652532476695	function_words	4	4.11	9.72426817752597
eule	owl	24.4845969415408	68.7830308313885	580	-1.81266232035863	nouns	4	4.93	7.20236336779911
fahren	drive	23.6080974425783	-62.4355444858845	1154	-0.434152984655417	verbs	6	3.86	9.1671008559732
fahrrad	bicycle	22.9674591901812	32.565615339498	419	-2.22554036085592	nouns	7	4.89	7.34151785714286
fallen	fall	26.1909174830505	86.7643611635066	317	-2.96904142756148	verbs	6	4.04	8.84976525821596
fangen	catch	26.638852285771	53.5317148037856	391	-2.42225065510198	verbs	6	4.11	8.12228260869565
feier	party	29.5788949775142	3.62791670236701	25	-6.25089205159107	other	5	3.89	9.125
