Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
ɒ	clock	18.0513679207227	-5.5628805484042	0	-7.41514560887713	nouns	2	5	6.35320105548055
fߜ子	closet	22.2545378279672	-5.5628805484042	0	-7.41514560887713	nouns	3	4.83	6.35320105548055
g߳头	stone	20.9523304998993	-5.5628805484042	0	-7.41514560887713	nouns	3	4.72	6.35320105548055
ȷ	with	21.0776487472806	-5.5628805484042	0	-7.41514560887713	function_words	2	2	6.35320105548055
ƙƙ	star	20.3251077248831	-5.5628805484042	0	-7.41514560887713	nouns	4	4.69	6.35320105548055
ɸ	bird	17.4543352637879	-5.5628805484042	0	-7.41514560887713	nouns	2	5	6.35320105548055
ŝ	earth	19.1216447779487	-5.5628805484042	0	-7.41514560887713	nouns	2	4.8	6.35320105548055
ŝ豆	potato	22.0726454567409	-5.5628805484042	0	-7.41514560887713	nouns	3	4.85	6.35320105548055
ǔ气	angry	22.0622663929339	-5.5628805484042	0	-7.41514560887713	adjectives	3	2.53	6.35320105548055
ǔ气	heavy	22.5886597681052	-5.5628805484042	0	-7.41514560887713	adjectives	3	3.37	6.35320105548055
一样	same	22.0472557957974	168.557968368043	809	-0.173779325554811	function_words	2	2.64	7.04656160458453
下	down	18.2215959015634	104.037786037475	877	0.141282360563124	verbs	1	3.52	6.85363303711448
下巴	chin	25.3557999327882	5.04219676471888	39	-4.70709540777492	nouns	2	4.89	6.73333333333333
不要	don't	17.7625442773829	-5.59817809459659	6	-6.31653332020902	other	2	4.12394366197183	5.66666666666667
业	on	19.1208235763506	-5.5628805484042	0	-7.41514560887713	function_words	1	3.25	6.35320105548055
业衣	shirt	24.0495287656234	-5.5628805484042	0	-7.41514560887713	nouns	2	4.94	6.35320105548055
为什么	why	25.3507184230663	106.949775071937	935	0.258542520390601	function_words	3	1.86	4.96466759646676
举	lift	19.8712830410312	19.5351951606572	90	-3.60848311910681	verbs	1	3.89	6.04444444444444
乜ɾ	turtle	21.5106720505804	-5.5628805484042	0	-7.41514560887713	nouns	3	5	6.35320105548055
乜鸦	crow	26.7676308904433	-5.5628805484042	0	-7.41514560887713	nouns	2	4.93	6.35320105548055
买	buy	18.6261446572394	35.3126446238269	696	-0.122127929104347	verbs	1	3.35	6.95034013605442
买	buy	18.6261446572394	35.3126446238269	696	-0.122127929104347	other	1	3.35	6.95034013605442
云彩	cloud	24.2559790947415	-10.4270537376005	10	-5.46923545982182	nouns	2	4.54	3.85714285714286
亲	kiss	18.194142123507	-0.99445267536872	112	-2.89335703182809	verbs	1	4.48	5.40217391304348
人	person	20.4161374207919	183.323154080987	1213	0.638105544671968	other	1	4.72	8.43002544529262
他们	them	26.6456855658361	121.266543521576	1272	0.837561067690516	function_words	2	3.04	7.84497133923919
他的	his	23.6853670811743	-5.5628805484042	0	-7.41514560887713	function_words	2	3.14	6.35320105548055
仚天	today	24.3750077488175	-5.5628805484042	0	-7.41514560887713	other	2	2.57	6.35320105548055
以吞	after	28.7354154849129	-5.5628805484042	0	-7.41514560887713	other	2	2.12	6.35320105548055
企鹅	penguin	23.8370226891819	13.9238664405608	141	-2.71466524308471	nouns	2	5	6.96363636363636
休息	nap	22.330922316141	23.1325513337807	214	-2.09213562973872	other	2	4.03	6.29756097560976
你	you	20.4788415527001	66.371422683083	3847	3.62611084086163	function_words	1	4.11	6.84976601064171
你好	hello	20.1610433747268	-48.0405803454112	133	-2.17339859381749	other	2	2.8	4.48148148148148
你拍一＜我拍一	clap	21.8346313755416	-5.5628805484042	0	-7.41514560887713	other	7	4.16	6.35320105548055
你的	your	22.6253208747034	-5.5628805484042	0	-7.41514560887713	function_words	2	2.37	6.35320105548055
假装	pretend	25.2886807574586	12.7206563383231	206	-2.07281135691232	verbs	2	2.11	6.19138755980861
停	stop	20.4409818823148	21.489858928288	226	-1.98579997992269	verbs	1	3.68	6.51754385964912
公共汽车	bus	23.3008625946357	4.00487850113822	67	-3.77755944915074	nouns	4	4.9	5.23684210526316
公园	park	21.1458661174491	9.5044789389856	110	-3.07134018702344	other	2	4.74	7.31168831168831
其它	other	32.3560275638283	6.55066138235386	42	-4.64255688663735	function_words	2	2.04	6.1875
再见	bye	13.5784170816786	-71.4380891249635	117	-2.11184070081805	other	2	2.25	3.3134328358209
写	write	19.4409483205735	-71.7352845155438	529	-0.279458261848985	verbs	1	4.22	6.06289808917197
冰淇淋	ice cream	23.4435739433578	13.8948157418097	101	-3.28801122383204	nouns	3	4.89	5.98387096774194
冷	cold	20.0754799971143	-25.6015685366734	230	-1.64059406333272	adjectives	1	3.85	5.65527950310559
凉鞋	sandals	24.3652211771013	-7.59817809459659	4	-6.31653332020902	nouns	2	4.12394366197183	3
几点	when (question)	24.2146669133367	-5.5628805484042	0	-7.41514560887713	function_words	2	1.6	6.35320105548055
刀	knife	18.9352195810553	24.7974342286034	141	-2.85079741740929	nouns	1	4.9	5.92708333333333
刷	brush (action)	19.5615436223829	-16.2679390094584	268	-1.4749743561567	verbs	1	4.54	6.76842105263158
刷子	brush (object)	21.6176331843678	5.55066138235386	41	-4.64255688663735	nouns	2	4.54	6.75
刺眬	hedgehog	25.3307188542563	-5.5628805484042	0	-7.41514560887713	nouns	2	4.93	6.35320105548055
前面	front	22.3503018403336	83.8881118235515	340	-1.63749328565447	function_words	2	3.77	6.45820433436533
剪刀	scissors	21.8235310680836	17.4164546988143	149	-2.66155541777076	nouns	2	4.85	5.60344827586207
勺	spoon	17.1617659595841	-7.70573578723891	40	-4.19626978400893	nouns	1	4.96	5.72
卡车	truck	23.8708192781731	13.4159731971408	106	-3.19563790370102	nouns	2	4.84	5.54411764705882
叔叔	uncle	16.0499281310197	65.3098375825953	360	-1.41869352025811	other	2	4.24	7.60945273631841
另外	another	33.0535938886122	74.5835721197102	255	-2.17870364604718	function_words	2	2.69	8.96276595744681
叫唤	shout	22.5946603893967	-0.562880548404197	5	-7.41514560887713	verbs	2	4.17	9
可怜	wet (description)	18.9018262101148	0.973542541108827	156	-2.41119930293167	adjectives	2	4.46	6.53691275167785
可爱	cute	21.6615386735274	-28.077065274377	167	-2.05855933420512	adjectives	2	2.76	5.01415094339623
叶子	leaf	20.2908458216399	28.4164546988143	160	-2.66155541777076	nouns	2	5	6.01724137931035
吃饭	eat	18.5626461298544	-56.6807775830076	551	-0.260530251963466	other	2	4.44	6.89140625
吉普车	jeep	25.7133802792496	-10.3311478214311	12	-5.33570406719729	nouns	3	4.8	3.125
吐	spit	19.5079598593785	33.0843168493676	184	-2.45230097861722	verbs	1	4.71	6.09090909090909
吹	blow	18.8575569320531	19.2647045614115	255	-1.76617137071592	verbs	1	3.74	6.0387323943662
呚诉	tell	23.2910338072459	-5.5628805484042	0	-7.41514560887713	verbs	2	2.9	6.35320105548055
咩咩	baa baa	17.6337395111425	-1.3166074092246	15	-5.80570769644303	other	2	4.12394366197183	7.8
