Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
¡am!	yum yum	59.2427269205024	-3.87501590725284	0	-7.10704292756663	other	4	4.16755555555556	7.25207922989424
¡pum!	bang	20.3217386364455	-3.87501590725284	0	-7.10704292756663	other	5	3.77	7.25207922989424
abajo	down	24.0353403549692	51.0369153020138	412	-0.973644884569983	function_words	5	3.52	7.19956616052061
abeja	bee	29.7485202993061	-22.0680684801852	40	-3.39347086086232	nouns	5	4.88	4.60975609756098
abrir	open (action)	20.234176273405	-3.63015618063827	182	-1.90303624048984	verbs	5	3.21	6.87362637362637
abuela	grandma	16.2013748968749	5.93382370620515	284	-1.34185182478179	other	6	4.54	7.52978056426332
abuelo	grandpa	19.5394521684083	12.1590217594915	175	-2.08316240672036	other	6	4.39	6.96710526315789
acabar	finish	24.7083524020946	32.6414222023848	89	-3.52352398911052	verbs	6	2.89	8.02777777777778
acerrín	kid's song	37.4663966586314	-3.87501590725284	0	-7.10704292756663	other	7	4.16755555555556	7.25207922989424
adentro	inside	27.431305601587	30.4526944724824	187	-2.13722962799063	function_words	7	3.67	7.09722222222222
adíos	bye	13.0560805731047	-3.87501590725284	0	-7.10704292756663	other	5	2.25	7.25207922989424
afuera	out	25.726622780438	44.7076647275339	128	-2.99616906339332	function_words	6	2.73	7.62295081967213
agua	water (beverage)	3.35327047433637	-29.9839847157841	619	-0.11862974556704	nouns	4	5	6.56549815498155
ahí	there	21.3107479824962	-44.0577343643165	1687	1.50400483932123	function_words	3	2.2	5.80680990531682
ahorita	now	27.0306441737486	59.2629734887366	161	-2.72501629289275	other	7	1.48	9.8375
alberca	pool	30.5660337210741	4.17811810286259	13	-6.00843063889852	nouns	7	4.77	12
almohada	pillow	23.6719825392124	6.62490363069391	36	-4.39899272646442	nouns	8	5	9.46666666666667
amarillo	yellow	28.3196830763211	-65.1557467384501	262	-1.11308150026006	adjectives	8	4.3	5.214463840399
animal	animal	25.2045502674741	-1.16673174681176	177	-1.95954845075318	nouns	6	4.61	8.37790697674419
apagar	turn off	23.8909083152847	8.60691581050554	49	-3.97154871163748	verbs	6	3.44	6.8695652173913
apurar	hurry	29.4108848203561	-3.87501590725284	0	-7.10704292756663	verbs	6	2.63	7.25207922989424
aquel	that	20.7423571510697	49.7008617762388	114	-3.34584281187307	function_words	5	1.54	8.93023255813953
aquí	here	23.3816803806531	-137.903819546974	2227	2.14549449310934	function_words	4	3.13	6.08129613651615
araña	spider	22.4743722136627	-8.28235813541593	80	-2.91738818554021	nouns	5	4.97	7.5
