word	word_count	mean_sent_length	final_count	solo_count
	2301.0	4.670143415906128	708.0	245.0
惠蕙	1.0	8.0	0.0	0.0
念	193.0	6.041450777202073	43.0	1.0
佳佳	15.0	6.533333333333333	1.0	0.0
笔芯儿	1.0	5.0	0.0	0.0
印记	1.0	14.0	1.0	0.0
腔	3.0	5.333333333333333	1.0	0.0
水草	3.0	4.333333333333333	3.0	0.0
换一换	1.0	4.0	0.0	0.0
秋千	38.0	4.894736842105263	17.0	1.0
武器	17.0	6.588235294117647	8.0	0.0
糟糕	125.0	3.552	51.0	26.0
茄子	68.0	3.911764705882353	38.0	17.0
下课	10.0	4.3	2.0	1.0
哼次哼次	1.0	5.0	0.0	0.0
扑通	3.0	7.666666666666667	0.0	0.0
也	6688.0	7.4688995215311005	16.0	2.0
设置	6.0	8.0	1.0	0.0
抱一抱	9.0	4.333333333333333	2.0	0.0
手腕	19.0	2.8421052631578947	4.0	1.0
肉体	1.0	16.0	0.0	0.0
螺丝	26.0	5.615384615384615	9.0	2.0
兵	18.0	4.5	9.0	0.0
笑哈哈	6.0	3.3333333333333335	6.0	1.0
烟花	7.0	6.428571428571429	2.0	0.0
瘸子	1.0	3.0	0.0	0.0
肉	274.0	5.872262773722627	83.0	2.0
浴	2.0	16.5	0.0	0.0
挑挑看	1.0	3.0	0.0	0.0
相伴	1.0	8.0	0.0	0.0
卫黄嵘	2.0	7.5	0.0	0.0
劲	100.0	4.15	56.0	0.0
违章	1.0	5.0	0.0	0.0
between	1.0	8.0	0.0	0.0
皮球	281.0	6.576512455516014	112.0	13.0
南部	1.0	4.0	0.0	0.0
主持人	2.0	5.5	1.0	0.0
around	1.0	4.0	0.0	0.0
喏	57.0	4.035087719298246	32.0	18.0
瘀青	3.0	3.0	1.0	1.0
繁体	1.0	4.0	0.0	0.0
火箭	102.0	4.813725490196078	21.0	5.0
抵挡	1.0	6.0	0.0	0.0
动画	1.0	4.0	0.0	0.0
旅	1.0	19.0	0.0	0.0
尿急	1.0	2.0	0.0	0.0
圣诞节	22.0	7.5	3.0	0.0
看看病	1.0	7.0	0.0	0.0
吆	90.0	2.9555555555555557	57.0	45.0
干干的	2.0	2.5	2.0	1.0
互相	8.0	6.25	0.0	0.0
胆小鬼	5.0	5.6	2.0	0.0
得罪	1.0	4.0	0.0	0.0
跳伞	5.0	6.6	1.0	0.0
十六	2.0	15.5	0.0	0.0
补习班	1.0	7.0	0.0	0.0
zeng1	3.0	3.0	1.0	0.0
浴盆	13.0	10.23076923076923	4.0	0.0
怪的	1.0	6.0	1.0	0.0
纸条	3.0	8.333333333333334	1.0	0.0
弯弯的	8.0	4.875	2.0	0.0
焖	2.0	12.0	0.0	0.0
脉	1.0	3.0	0.0	0.0
列队	1.0	3.0	0.0	0.0
买不起	1.0	3.0	1.0	0.0
gots	1.0	11.0	0.0	0.0
无论	1.0	10.0	0.0	0.0
许久	3.0	10.333333333333334	0.0	0.0
作弊	3.0	4.666666666666667	1.0	0.0
