word	word_count	mean_sent_length	final_count	solo_count
	869.0	6.560414269275029	315.0	70.0
cacá	1.0	3.0	1.0	0.0
cascas	1.0	6.0	0.0	0.0
estropeao	1.0	7.0	1.0	0.0
dueña	2.0	12.0	0.0	0.0
seguíamos	3.0	7.333333333333333	1.0	0.0
machismo	1.0	5.0	1.0	0.0
sucede	40.0	7.05	7.0	0.0
adaptando	1.0	7.0	0.0	0.0
esti	2.0	8.5	0.0	0.0
lapicero	8.0	5.75	5.0	0.0
expresó	6.0	4.666666666666667	0.0	0.0
formar	6.0	6.333333333333333	1.0	0.0
preescolar	11.0	6.909090909090909	6.0	0.0
escondites	1.0	23.0	0.0	0.0
comerse	10.0	10.6	0.0	0.0
tú	6828.0	6.980814294083187	1520.0	108.0
teleñecos	2.0	7.5	1.0	0.0
construyendo	6.0	4.5	3.0	1.0
papanatas	1.0	2.0	1.0	0.0
adivinanza	8.0	10.0	6.0	0.0
apolonio	2.0	6.0	1.0	0.0
estáte	10.0	6.8	0.0	0.0
blanquito	7.0	4.428571428571429	5.0	0.0
civilizados	1.0	11.0	0.0	0.0
público	6.0	9.833333333333334	2.0	0.0
ensalda	1.0	8.0	0.0	0.0
uyva	1.0	7.0	1.0	0.0
aclaras	1.0	4.0	1.0	0.0
comimos	6.0	8.833333333333334	2.0	0.0
prepotencia	1.0	15.0	0.0	0.0
donat	2.0	7.0	0.0	0.0
marranita	1.0	8.0	0.0	0.0
encontrarlo	10.0	5.0	9.0	0.0
jitomáte	1.0	5.0	0.0	0.0
kelly	1.0	35.0	0.0	0.0
afilar	1.0	5.0	1.0	0.0
conllevaba	2.0	5.5	1.0	0.0
saña	2.0	8.5	2.0	0.0
mayorzote	1.0	8.0	0.0	0.0
esquís	1.0	7.0	1.0	0.0
martina	7.0	4.285714285714286	6.0	2.0
aaaa	2.0	1.0	2.0	2.0
alterada	1.0	10.0	0.0	0.0
mocosón	5.0	2.2	5.0	3.0
jardin	1.0	8.0	0.0	0.0
riquisímo	1.0	1.0	1.0	1.0
capirote	1.0	14.0	0.0	0.0
ganarlos	1.0	11.0	0.0	0.0
exteriormente	1.0	13.0	1.0	0.0
mostró	2.0	5.0	0.0	0.0
ventajas	2.0	4.5	0.0	0.0
menea	1.0	2.0	1.0	0.0
sounds	1.0	9.0	0.0	0.0
rayicas	1.0	9.0	1.0	0.0
hechos	5.0	6.0	3.0	0.0
aburrida	11.0	6.363636363636363	6.0	1.0
pacos	1.0	5.0	1.0	0.0
cuente	55.0	9.909090909090908	14.0	0.0
quiqui	2.0	3.0	1.0	0.0
gasolinero	3.0	4.333333333333333	3.0	0.0
iguala	1.0	3.0	1.0	0.0
conformé	1.0	6.0	0.0	0.0
lunar	12.0	5.75	8.0	0.0
juguete	96.0	8.4375	48.0	2.0
jue	2.0	15.0	0.0	0.0
morro	49.0	5.591836734693878	17.0	0.0
columpiarles	1.0	1.0	1.0	1.0
hicistéis	2.0	4.0	1.0	0.0
escuchaban	2.0	5.5	0.0	0.0
resbaladilla	26.0	5.0	21.0	0.0
llevais	3.0	10.333333333333334	0.0	0.0
