Token	Diversity	DiversityEntropy	CountPerThousand	MLU
numbers	331	6.860583305358887	0.0527301080351584	7.776649746192893
lot	1467	6.842601776123047	0.5424241824022766	11.288921786331112
information	120	6.3630690574646	0.006557805314017162	12.877551020408163
maybe	2128	7.905251502990723	1.07200041969954	8.856679151061174
safely	46	4.214327335357666	0.007896132929122704	6.491525423728813
sweater	253	5.990604400634766	0.0618307358178761	7.1688311688311686
dolls	475	6.848188400268555	0.1256689630584105	10.045793397231098
lambs	73	5.4000349044799805	0.00588864150646439	5.659090909090909
sean	246	7.146468162536621	0.0342611869467019	5.32421875
cute	486	6.6297712326049805	0.18495687640758607	5.089001447178003
construction	88	6.098533630371094	0.004817979414379956	9.25
come	2407	6.9828996658325195	3.2520022719449595	5.793654059837853
nick	147	5.998173236846924	0.015256934812203192	6.614035087719298
crayons	343	6.761991500854492	0.0758831757764843	6.2292768959435625
been	1527	7.695854187011719	0.4673440031948557	10.988545246277205
freight	63	5.290315628051758	0.005219477698911619	5.82051282051282
post	139	6.048892498016357	0.011241951966886562	9.5
surfer	60	4.940893173217773	0.006423972552506607	6.895833333333333
seaweed	89	6.025174140930176	0.006959303598548824	6.019230769230769
sailing	83	5.678411960601807	0.005620975983443281	9.428571428571429
outa	93	5.888771057128906	0.005487143221932727	7.926829268292683
seeds	284	6.9715399742126465	0.033592023139149135	9.04382470119522
victor	98	6.276654243469238	0.008832962259696585	5.136363636363637
had	2552	8.070351600646973	1.0646396178164597	10.653425518541798
clear	278	7.122224807739258	0.027301883348153082	9.705882352941176
buses	118	6.344558238983154	0.009368293305738802	7.128571428571429
thick	175	6.62788724899292	0.015256934812203192	8.5
confusing	64	5.459164619445801	0.005085644937401064	6.421052631578948
coming	1086	7.678590774536133	0.31196416708110214	8.047619047619047
tripped	65	5.288665294647217	0.005353310460422173	7.45
complete	112	6.109635353088379	0.0068254708370382704	10.72549019607843
wes	181	6.983410358428955	0.01672909518881929	6.632
stops	175	6.378079414367676	0.013115610628034324	10.5
someplace	190	6.8596014976501465	0.01298177786652377	8.597938144329897
god	469	6.821077823638916	0.12888094933466382	5.761163032191069
driver	293	5.987521171569824	0.07133286188512546	7.662288930581614
judy	193	6.113472938537598	0.03827616979201853	6.073426573426573
whispering	104	5.006862163543701	0.01793359004241428	6.626865671641791
pirate	236	6.571865558624268	0.02609738849455809	9.394871794871795
hundred	349	6.370004653930664	0.071466694646636	11.323970037453183
spells	124	6.149786472320557	0.012044948535949888	6.288888888888889
tricycle	139	6.190807342529297	0.012847945105013215	7.645833333333333
poured	166	6.444428443908691	0.011643450251418226	10.528735632183908
antenna	123	6.000021457672119	0.014453938243139867	6.731481481481482
anyway	729	7.583989143371582	0.12901478209617437	8.883817427385893
ripped	178	6.402319431304932	0.019539583180540932	7.609589041095891
pirates	163	6.716053485870361	0.010974286443865455	10.890243902439025
yourself	816	7.003360271453857	0.24183580004957164	7.33923630326508
cup	757	6.927764892578125	0.36844159243855606	6.929168180167091
shower	229	6.329877853393555	0.03372585590065969	7.571428571428571
out_of	1305	6.972563743591309	0.4096620829838068	9.130349558967657
whoop	124	6.130402565002441	0.05473759945781672	2.0488997555012225
list	222	6.580715656280518	0.02141324184168869	10.28125
friend	807	7.234855651855469	0.2111880976636547	8.095057034220531
anything	1412	7.001619338989258	0.8012567431636887	8.325037581426425
carle	78	4.818743705749512	0.018335088326945942	7.649635036496351
courtney	146	6.3218207359313965	0.012312614058970998	7.282608695652174
pay	371	6.570002555847168	0.06263373238693942	9.485042735042734
rope	272	6.827563762664795	0.03225369552404359	8.522821576763485
palace	82	5.469376564025879	0.005353310460422173	12.675
morning	1052	7.161538600921631	0.311696501558081	9.446114212108201
further	146	6.260517120361328	0.011375784728397117	10.352941176470589
