Token	Diversity	DiversityEntropy	CountPerThousand	MLU
shampooing	13	3.6403744220733643	0.004911561201122292	5.25
cuisine	146	5.7670793533325195	0.11910535912721558	8.515463917525773
x	40	5.126641273498535	0.013506793303086302	8.909090909090908
tgv	14	3.584334135055542	0.006139451501402864	6.6
plat	73	5.602261066436768	0.03806459930869776	11.258064516129032
préférée	12	3.1795225143432617	0.009823122402244583	4.875
âne	60	5.008871078491211	0.03560881870813661	5.931034482758621
opéré	7	2.6107280254364014	0.004911561201122292	5.5
croyable	5	1.9604761600494385	0.00859523210196401	3.7142857142857144
orque	28	4.46973180770874	0.013506793303086302	6.0
remontée	11	3.2640836238861084	0.004911561201122292	7.0
liv	26	4.3384881019592285	0.02087413510476974	6.117647058823529
patelin	9	2.969069242477417	0.004911561201122292	5.5
pleure	127	5.632530212402344	0.16453730023759677	6.231343283582089
sapin	104	4.953249454498291	0.11051012702525156	14.544444444444444
évier	51	4.840960502624512	0.004911561201122292	8.75
jacques	40	4.982377052307129	0.02087413510476974	7.9411764705882355
épouvantable	9	3.085205554962158	0.003683670900841719	6.666666666666667
courrier	31	4.661121368408203	0.012278903002805729	11.3
chocolat	273	6.863850116729736	0.33153038107575467	8.403703703703703
roulaient	10	2.6636836528778076	0.004911561201122292	11.0
poil	23	4.350358963012695	0.011051012702525157	5.777777777777778
liliane	22	4.32874870300293	0.006139451501402864	13.4
su	20	4.262842655181885	0.006139451501402864	7.4
couleur	275	5.887247562408447	0.462914643205776	7.114058355437666
auront	20	1.962416172027588	0.01596257390364745	10.153846153846153
pourtant	113	6.448564052581787	0.05402717321234521	8.977272727272727
hisse	6	1.8438504934310913	0.030697257507014325	2.32
raconterais	17	3.913419723510742	0.004911561201122292	9.25
froide	42	4.56147575378418	0.03315303810757547	8.407407407407407
devine	24	4.379014015197754	0.018418354504208593	3.933333333333333
gris	92	5.989124298095703	0.05402717321234521	9.113636363636363
début	104	5.722968578338623	0.09823122402244583	7.6125
lourde	27	4.365682601928711	0.014734683603366876	5.75
célia	6	2.0115160942077637	0.009823122402244583	2.875
mam	23	4.3650078773498535	0.006139451501402864	11.2
volant	48	4.960139274597168	0.0319251478072949	7.346153846153846
lulu	9	2.3314754962921143	0.013506793303086302	4.2727272727272725
réchauffer	22	4.378933429718018	0.00859523210196401	6.714285714285714
passera	29	4.697995662689209	0.009823122402244583	7.375
rigoles	5	1.961114525794983	0.006139451501402864	3.0
pilote	14	3.7346718311309814	0.004911561201122292	5.75
achetés	21	4.286940097808838	0.004911561201122292	11.25
aidé	26	4.399530410766602	0.006139451501402864	9.4
oliver	21	4.392467498779297	0.013506793303086302	3.272727272727273
absolument	67	5.6688551902771	0.028241476906453178	8.26086956521739
