Token	Diversity	DiversityEntropy	CountPerThousand	MLU
bank	262	6.76027250289917	0.04243212246682037	8.392045454545455
nimm	693	6.976996898651123	0.3351173308459109	6.741007194244604
bauarbeiter	125	6.370744705200195	0.014465496295506945	7.033333333333333
durchfahren	186	6.514886379241943	0.038092473578168286	8.626582278481013
gebissen	118	5.935318470001221	0.023626977282661343	6.479591836734694
uhrzeit	84	5.800940990447998	0.00843820617237905	8.742857142857142
kerze	177	6.413357257843018	0.03423500789936643	7.542253521126761
stefan	441	6.998551845550537	0.11258977950002905	8.698072805139187
zweiten	373	7.253757476806641	0.07305075629231007	10.356435643564357
dampfwalze	94	5.800587177276611	0.011572397036405556	6.1875
pferde	300	6.958011627197266	0.0643714585150059	6.677902621722846
hoppa	35	4.8098297119140625	0.009402572592079514	2.641025641025641
reingemacht	124	6.356542587280273	0.013501129875806482	7.839285714285714
zweit	68	4.191805839538574	0.008920389382229282	10.513513513513514
stehst	168	6.095027446746826	0.022180427653110648	8.902173913043478
computer	234	6.893672943115234	0.04026229802249433	8.311377245508982
bubi	127	6.073986053466797	0.02314479407281111	6.333333333333333
pfeift	85	5.883486747741699	0.008679297777304166	7.666666666666667
zudecke	67	5.750576019287109	0.007473839752678588	5.67741935483871
schafft	119	6.11704158782959	0.012295671851180903	8.294117647058824
fallen	317	7.128869533538818	0.051352511849049653	8.849765258215962
unbedingt	336	7.234699726104736	0.04990596221949896	9.76328502415459
lass	931	7.09814977645874	0.595737355769961	6.81788749494132
lobster	57	5.517673969268799	0.007232748147753472	6.433333333333334
mauer	163	6.402645111083984	0.022421519258035764	9.741935483870968
buchstabe	82	5.5204596519470215	0.009402572592079514	7.717948717948718
endlich	355	7.5475897789001465	0.050629237034274306	8.961904761904762
klingt	198	6.491793632507324	0.03327064147966597	7.297101449275362
sechzehn	126	6.482842445373535	0.01470658790043206	9.967213114754099
älter	165	6.115467071533203	0.029895359010714353	9.733870967741936
angekommen	115	6.285252094268799	0.015429862715207408	8.015625
los	787	7.311840057373047	0.44674274392623947	6.065299514301134
hasi	139	6.608963966369629	0.022421519258035764	5.311827956989247
liebe	310	7.124493598937988	0.06003180962635382	6.690763052208835
dingen	160	6.646397590637207	0.015912045925057638	12.227272727272727
abends	336	7.509131908416748	0.05593325234262685	9.0
schießt	87	5.8920698165893555	0.010366939011779977	7.767441860465116
stellen	461	7.2332282066345215	0.10222284048824908	9.507075471698114
erschrocken	87	5.945608139038086	0.009402572592079514	8.0
meinen	719	8.054956436157227	0.1393509476467169	9.039792387543253
stuhl	652	7.3487043380737305	0.26761168146687847	7.050450450450451
kreide	263	6.740198135375977	0.06051399283620405	6.135458167330677
abgerissen	64	5.544027328491211	0.009161480987154398	9.421052631578947
eiffelturm	124	6.429621696472168	0.014465496295506945	8.166666666666666
wupps	89	5.838391304016113	0.0214571528383353	3.561797752808989
kuh	731	7.097012042999268	0.295819399243117	7.167889160554197
trocknen	142	6.444080829620361	0.019528419998934374	7.691358024691358
schreibe	102	6.05841064453125	0.009402572592079514	9.461538461538462
ach_gott	100	6.134725570678711	0.016153137529982754	4.7611940298507465
quak	73	4.0749993324279785	0.038092473578168286	4.2215189873417724
