Token	Diversity	DiversityEntropy	CountPerThousand	MLU
cielo	251	6.715912342071533	0.17123666463749854	6.2631578947368425
molt	73	5.40787410736084	0.06636444897434154	5.6419753086419755
restar	24	4.3130598068237305	0.009831770218420969	7.166666666666667
viento	64	5.22188138961792	0.03441119576447339	6.714285714285714
des	149	5.894950866699219	0.08029279011710458	8.408163265306122
ganó	85	5.049612522125244	0.12699369865460416	3.6903225806451614
erik	80	5.879310607910156	0.03277256739473656	8.1
pruebas	36	4.838667869567871	0.00819314184868414	14.0
bizcocho	46	5.1146345138549805	0.015566969512499867	7.578947368421052
contento	138	6.075881004333496	0.09504044544473603	6.560344827586207
preguntando	41	5.0219221115112305	0.011470398588157796	15.857142857142858
éstos	413	6.880032539367676	0.4825760548874959	6.152801358234296
vicky	51	5.101790904998779	0.022940797176315593	5.285714285714286
fuerte	293	6.701329231262207	0.32854498813223404	6.2643391521197005
vuelves	46	4.93248176574707	0.01392834114276304	8.411764705882353
pedro	80	5.884060859680176	0.04014639505855229	5.0
pequeñas	74	5.693506240844727	0.027037368100657662	7.363636363636363
maica	44	5.159873008728027	0.01228971277302621	14.933333333333334
mucho	905	7.688320159912109	1.1429432878914376	7.517562724014337
llama	655	5.6941728591918945	1.6296159137032755	6.180492709904475
pillas	36	4.564747333526611	0.015566969512499867	7.578947368421052
cofre	56	5.214697360992432	0.023760111361184007	7.413793103448276
humo	87	5.49425745010376	0.06554513478947312	7.125
cajita	53	5.170135498046875	0.01638628369736828	9.55
levanto	26	4.197232723236084	0.009831770218420969	6.5
lentes	12	3.5467441082000732	0.0024579425546052422	7.0
mete	253	6.397095680236816	0.2105637455111824	7.4591439688715955
despiertas	27	4.324522972106934	0.00819314184868414	9.6
cura	71	5.623471736907959	0.04260433761315753	6.230769230769231
meto	71	5.453190326690674	0.039327080873683876	6.583333333333333
brazo	75	5.372415542602539	0.036869138319078634	6.955555555555556
vete	195	6.630484104156494	0.13600615468815674	6.126506024096385
para	2296	8.289451599121094	4.9232589368743	8.212680978532202
capaz	29	4.404763221740723	0.011470398588157796	7.285714285714286
